gsm,field,raw_value,reason
GSM3647202,age,12,number_without_unit
GSM3647203,age,12,number_without_unit
GSM3647204,age,12,number_without_unit
GSM3647205,age,12,number_without_unit
GSM3647206,age,12,number_without_unit
GSM3647207,age,12,number_without_unit
GSM3647208,age,12,number_without_unit
GSM3647209,age,12,number_without_unit
GSM3647210,age,12,number_without_unit
GSM3647211,age,12,number_without_unit
GSM3647212,age,12,number_without_unit
GSM3647213,age,12,number_without_unit
GSM3647214,age,12,number_without_unit
GSM3647215,age,12,number_without_unit
GSM3647216,age,12,number_without_unit
GSM3647217,age,12,number_without_unit
GSM3647218,age,12,number_without_unit
GSM3647219,age,12,number_without_unit
GSM3647220,age,12,number_without_unit
GSM3647221,age,12,number_without_unit
GSM3647222,age,12,number_without_unit
GSM3647223,age,12,number_without_unit
GSM3647224,age,12,number_without_unit
GSM3647225,age,12,number_without_unit
GSM3647226,age,12,number_without_unit
GSM3647227,age,12,number_without_unit
GSM3647228,age,12,number_without_unit
GSM3647229,age,12,number_without_unit
GSM3647230,age,12,number_without_unit
GSM3647231,age,12,number_without_unit
GSM3647232,age,12,number_without_unit
GSM3647233,age,12,number_without_unit
GSM3647234,age,12,number_without_unit
GSM3647235,age,12,number_without_unit
GSM3647236,age,12,number_without_unit
GSM3647237,age,12,number_without_unit
GSM3647238,age,12,number_without_unit
GSM3647239,age,12,number_without_unit
GSM3647240,age,12,number_without_unit
GSM3647241,age,12,number_without_unit
GSM3647242,age,12,number_without_unit
GSM3647243,age,12,number_without_unit
GSM3647244,age,12,number_without_unit
GSM3647245,age,12,number_without_unit
GSM3647246,age,12,number_without_unit
GSM3647247,age,12,number_without_unit
GSM3647248,age,12,number_without_unit
GSM3647249,age,12,number_without_unit
GSM3647250,age,12,number_without_unit
GSM3647251,age,12,number_without_unit
GSM3647252,age,12,number_without_unit
GSM3647253,age,12,number_without_unit
GSM3647254,age,12,number_without_unit
GSM3647255,age,12,number_without_unit
GSM3647256,age,12,number_without_unit
GSM3647257,age,12,number_without_unit
GSM3647258,age,12,number_without_unit
GSM3647259,age,12,number_without_unit
GSM3647260,age,12,number_without_unit
GSM3647261,age,12,number_without_unit
GSM3647262,age,12,number_without_unit
GSM3647263,age,12,number_without_unit
GSM3647264,age,12,number_without_unit
GSM3647265,age,12,number_without_unit
GSM3647266,age,12,number_without_unit
GSM3647267,age,12,number_without_unit
GSM3647268,age,12,number_without_unit
GSM3647269,age,12,number_without_unit
GSM3647270,age,12,number_without_unit
GSM3647271,age,12,number_without_unit
GSM3647272,age,12,number_without_unit
GSM3647273,age,12,number_without_unit
GSM3647274,age,12,number_without_unit
GSM3647275,age,12,number_without_unit
GSM3647276,age,12,number_without_unit
GSM3647277,age,12,number_without_unit
GSM3647278,age,12,number_without_unit
GSM3647279,age,12,number_without_unit
GSM3647280,age,12,number_without_unit
GSM3647281,age,12,number_without_unit
GSM3647282,age,12,number_without_unit
GSM3647283,age,12,number_without_unit
GSM3647284,age,12,number_without_unit
GSM3647285,age,12,number_without_unit
GSM3647286,age,12,number_without_unit
GSM3647287,age,12,number_without_unit
GSM3647288,age,12,number_without_unit
GSM3647289,age,12,number_without_unit
GSM3647290,age,12,number_without_unit
GSM3647291,age,12,number_without_unit
GSM3647292,age,12,number_without_unit
GSM3647293,age,12,number_without_unit
GSM3647294,age,12,number_without_unit
GSM3647295,age,12,number_without_unit
GSM3647296,age,12,number_without_unit
GSM3647297,age,12,number_without_unit
GSM3647298,age,12,number_without_unit
GSM3647299,age,12,number_without_unit
GSM3647300,age,12,number_without_unit
GSM3647301,age,12,number_without_unit
GSM3647302,age,12,number_without_unit
GSM3647303,age,12,number_without_unit
GSM3647304,age,12,number_without_unit
GSM3647305,age,12,number_without_unit
GSM3647306,age,12,number_without_unit
GSM3647307,age,12,number_without_unit
GSM3647308,age,12,number_without_unit
GSM3647309,age,12,number_without_unit
GSM3647310,age,12,number_without_unit
GSM3647311,age,12,number_without_unit
GSM3647312,age,12,number_without_unit
GSM3647313,age,12,number_without_unit
GSM3647314,age,12,number_without_unit
GSM3647315,age,12,number_without_unit
GSM3647316,age,12,number_without_unit
GSM3647317,age,12,number_without_unit
GSM3647318,age,12,number_without_unit
GSM3647319,age,12,number_without_unit
GSM3647320,age,12,number_without_unit
GSM3647321,age,12,number_without_unit
GSM3647322,age,12,number_without_unit
GSM3647323,age,12,number_without_unit
GSM3647324,age,12,number_without_unit
GSM3647325,age,12,number_without_unit
GSM3647326,age,12,number_without_unit
GSM3647327,age,12,number_without_unit
GSM3647328,age,12,number_without_unit
GSM3647329,age,12,number_without_unit
GSM3647330,age,12,number_without_unit
GSM3647331,age,12,number_without_unit
GSM3647332,age,12,number_without_unit
GSM3647333,age,12,number_without_unit
GSM3647334,age,12,number_without_unit
GSM3647335,age,12,number_without_unit
GSM3647336,age,12,number_without_unit
GSM3647337,age,12,number_without_unit
GSM3647338,age,12,number_without_unit
GSM3647339,age,12,number_without_unit
GSM3647340,age,12,number_without_unit
GSM3647341,age,12,number_without_unit
GSM3647342,age,12,number_without_unit
GSM3647343,age,12,number_without_unit
GSM3647344,age,12,number_without_unit
GSM3647345,age,12,number_without_unit
GSM3647346,age,12,number_without_unit
GSM3647347,age,12,number_without_unit
GSM3647348,age,12,number_without_unit
GSM3647349,age,12,number_without_unit
GSM3647350,age,12,number_without_unit
GSM3647351,age,12,number_without_unit
GSM3647352,age,12,number_without_unit
GSM3647353,age,12,number_without_unit
GSM3647354,age,12,number_without_unit
GSM3647355,age,12,number_without_unit
GSM3647356,age,12,number_without_unit
GSM3647357,age,12,number_without_unit
GSM3647358,age,12,number_without_unit
GSM3647359,age,12,number_without_unit
GSM3647360,age,12,number_without_unit
GSM3647361,age,12,number_without_unit
GSM3647362,age,12,number_without_unit
GSM3647363,age,12,number_without_unit
GSM3647364,age,12,number_without_unit
GSM3647365,age,12,number_without_unit
GSM3647366,age,12,number_without_unit
GSM3647367,age,12,number_without_unit
GSM3647368,age,12,number_without_unit
GSM3647369,age,12,number_without_unit
GSM3647370,age,12,number_without_unit
GSM3647371,age,12,number_without_unit
GSM3647372,age,12,number_without_unit
GSM3647373,age,12,number_without_unit
GSM3647374,age,12,number_without_unit
GSM3647375,age,12,number_without_unit
GSM3647376,age,12,number_without_unit
GSM3647377,age,12,number_without_unit
