gsm,title,source_name,organism,molecule,library_strategy,library_source,is_expression,age_raw,age_value,age_unit,age_months,age_stage,age_group,age_rule,age_source,age_flags,sex_raw,sex,sex_rule,sex_source,tissue_raw,tissue,tissue_ontology,cell_type_raw,cell_type,cell_type_ontology,cell_line,sample_type,strain_raw,strain,genotype_raw,genotype_is_control,treatment_raw,treatment_is_control,treatment_source,is_pooled,is_cell_level,series_ids
GSM1526800,"Cerebellar homogenates at 4month, biological rep2",Cerebellar homogenates at 4 month of age,Mus musculus,total RNA,,,True,4month,4.0,months,4.0,,young,number_with_unit,field,,,,,,brain,brain,UBERON:0000955,,,,,tissue,,C57BL/6J,C57BL/6J,True,,,,False,False,GSE62420
GSM1526801,"Cortical homogenates at 4month, biological rep1",Cortical homogenates at 4 month of age,Mus musculus,total RNA,,,True,4month,4.0,months,4.0,,young,number_with_unit,field,,,,,,brain,brain,UBERON:0000955,,,,,tissue,,C57BL/6J,C57BL/6J,True,,,,False,False,GSE62420
GSM1526802,"Cortical homogenates at 4month, biological rep2",Cortical homogenates at 4 month of age,Mus musculus,total RNA,,,True,4month,4.0,months,4.0,,young,number_with_unit,field,,,,,,brain,brain,UBERON:0000955,,,,,tissue,,C57BL/6J,C57BL/6J,True,,,,False,False,GSE62420
GSM1526803,"Hippocampal homogenates at 4month, biological rep1",Hippocampal homogenates at 4 month of age,Mus musculus,total RNA,,,True,4month,4.0,months,4.0,,young,number_with_unit,field,,,,,,brain,brain,UBERON:0000955,,,,,tissue,,C57BL/6J,C57BL/6J,True,,,,False,False,GSE62420
GSM1526804,"Hippocampal homogenates at 4month, biological rep2",Hippocampal homogenates at 4 month of age,Mus musculus,total RNA,,,True,4month,4.0,months,4.0,,young,number_with_unit,field,,,,,,brain,brain,UBERON:0000955,,,,,tissue,,C57BL/6J,C57BL/6J,True,,,,False,False,GSE62420
GSM1526805,"Striatal homogenates at 4month, biological rep1",Striatal homogenates at 4 month of age,Mus musculus,total RNA,,,True,4month,4.0,months,4.0,,young,number_with_unit,field,,,,,,brain,brain,UBERON:0000955,,,,,tissue,,C57BL/6J,C57BL/6J,True,,,,False,False,GSE62420
GSM1526806,"Striatal homogenates at 4month, biological rep2",Striatal homogenates at 4 month of age,Mus musculus,total RNA,,,True,4month,4.0,months,4.0,,young,number_with_unit,field,,,,,,brain,brain,UBERON:0000955,,,,,tissue,,C57BL/6J,C57BL/6J,True,,,,False,False,GSE62420
GSM1617046,WT Microglia #1,Microglia,Mus musculus,total RNA,RNA-Seq,transcriptomic,True,10-12wk,11.0,weeks,2.53,,young,range_midpoint,field,range,,,,,,,,Acutely isolated microglia,microglia,CL:0000129,,isolated cells,,,Wild type,True,,,,False,False,GSE66211;GSE66502
GSM1617047,WT Microgia #2,Microglia,Mus musculus,total RNA,RNA-Seq,transcriptomic,True,10-12wk,11.0,weeks,2.53,,young,range_midpoint,field,range,,,,,,,,Acutely isolated microglia,microglia,CL:0000129,,isolated cells,,,Wild type,True,,,,False,False,GSE66211;GSE66502
GSM1617048,Mecp2-null Microglia #1,Microglia,Mus musculus,total RNA,RNA-Seq,transcriptomic,True,10-12wk,11.0,weeks,2.53,,young,range_midpoint,field,range,,,,,,,,Acutely isolated microglia,microglia,CL:0000129,,isolated cells,,,Mecp2-null,False,,,,False,False,GSE66211;GSE66502
GSM1617049,Mecp2-null Microglia #2,Microglia,Mus musculus,total RNA,RNA-Seq,transcriptomic,True,10-12wk,11.0,weeks,2.53,,young,range_midpoint,field,range,,,,,,,,Acutely isolated microglia,microglia,CL:0000129,,isolated cells,,,Mecp2-null,False,,,,False,False,GSE66211;GSE66502
